Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Churn Label,high usage,Extra Data User
8779-QRDMV,Male,Senior,No,Yes,No,No,0,United States,California,Los Angeles,68701,No,0,1,No Offer,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,1,False,True
7495-OOKFY,Female,Senior,No,Yes,Yes,Yes,1,United States,California,Los Angeles,55668,Yes,1,8,Offer E,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,1,False,False
1658-BYGOY,Male,Senior,No,Yes,No,Yes,3,United States,California,Los Angeles,47534,No,0,18,Offer D,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1,True,False
4598-XLKNJ,Female,Senior,No,Yes,Yes,Yes,1,United States,California,Inglewood,27778,Yes,1,25,Offer C,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,1,False,False
4846-WHAFZ,Female,Senior,No,Yes,Yes,Yes,1,United States,California,Whittier,26265,Yes,1,37,Offer C,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,1,False,False
4412-YLTKF,Female,Senior,No,Yes,No,Yes,1,United States,California,Pico Rivera,63288,No,0,27,Offer C,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,1,False,True
0390-DCFDQ,Female,Senior,No,Yes,Yes,Yes,2,United States,California,Los Alamitos,21343,Yes,1,1,Offer E,Yes,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,1,True,False
3445-HXXGF,Male,Senior,No,Yes,Yes,No,0,United States,California,Sierra Madre,10558,Yes,6,58,Offer B,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,1,True,False
2656-FMOKZ,Female,Senior,No,Yes,No,Yes,2,United States,California,Pasadena,23742,No,0,15,Offer D,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1,False,False
2070-FNEXE,Female,Senior,No,Yes,No,Yes,2,United States,California,Pasadena,32369,No,0,7,Offer E,Yes,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,1,False,False
